clip_name,video_url,clip_duration,rating
12YearsASlave_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mATmozWnlMMll3cUE/view?usp=share_link&resourcekey=0-xP93KAr3k8Fnoi7-5F7HAA,150.48,negative
28DaysLater_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mASkpUNWluLTZWUFU/view?usp=share_link&resourcekey=0-9Qq3m60KESM-6C6bcitQwQ,103.38,negative
28DaysLater_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mANXl2MVR3TklCYWc/view?usp=share_link&resourcekey=0-a1q-6krOQhorLr0mbHuXPg,166.44,negative
28DaysLater_clip_4,https://drive.google.com/file/d/0B5S5TDsmc6mAQTVMWnZoTU84bVU/view?usp=share_link&resourcekey=0-UQWFZP1mVqSCvAxUKNBYWA,70.91,negative
28DaysLater_clip_5,https://drive.google.com/file/d/0B5S5TDsmc6mAT00tejFMN2NRblE/view?usp=share_link&resourcekey=0-GODpMvhFg0cfExOQB4Lw-Q,63.57,positive
28DaysLater_clip_6,https://drive.google.com/file/d/0B5S5TDsmc6mAbGNJMUdjclhnQXM/view?usp=share_link&resourcekey=0-nO2YUEKb1iT5FinsbOR_eg,54.36,negative
28DaysLater_clip_7,https://drive.google.com/file/d/0B5S5TDsmc6mAc0F4S2lvR2JITFk/view?usp=share_link&resourcekey=0-6uGocfSqQyQ_rGPMUnLVxw,128.94,negative
AFIshCalledWanda,https://drive.google.com/file/d/0B5S5TDsmc6mAeDhReWFSRUladmM/view?usp=share_link&resourcekey=0-fE0G2R49lxoPgImGSnc2FQ,176.89,positive
AmericanHistoryX_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAVllmdEp0TXpvYkU/view?usp=share_link&resourcekey=0-sPu7G0Cl1TzHD1FP29ytLQ,75.53,negative
Amputation_1,https://drive.google.com/file/d/0B5S5TDsmc6mAV2ZjZnpnZUppOUE/view?usp=share_link&resourcekey=0-E2Ue-ii_YZz2jhN8KwQmZA,67.0,negative
APerfectWorld_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAeVVncG96dVBmRTA/view?usp=share_link&resourcekey=0-P-ExIBiNXviH-worv7M6mg,297.32,negative
Bambi_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAc2xYejdXekFxTE0/view?usp=share_link&resourcekey=0-asiji1lxo-20qgtEyLuD8w,81.53,positive
BatmanReturns(1992)_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAV1dIbi1jckdJZDQ/view?usp=share_link&resourcekey=0-jfq44rL5TwFD9uDRGT6fWQ,78.2,positive
BikeChase_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAZzNBQVVwbzlmR1U/view?usp=share_link&resourcekey=0-5JySzjHDEgYQisgWOoNOzQ,132.05,positive
Blue_2,https://drive.google.com/file/d/0B5S5TDsmc6mAVnVQUHBrSmw2Z0k/view?usp=share_link&resourcekey=0-RCJvL7VCf1Ge-CNNRuSn4w,40.12,positive
Blue_3,https://drive.google.com/file/d/0B5S5TDsmc6mANUJHVDNBbDZkTmM/view?usp=share_link&resourcekey=0-eZtMAgruOcu65dqOchbyuQ,25.24,positive
Chucky2_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAcEFVSVpMV0RILXM/view?usp=share_link&resourcekey=0-tay1YdugtdksTN2Wfu4o5g,68.29,negative
CryFreedom_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAME9hQXRabHVQQ1U/view?usp=share_link&resourcekey=0-WYm8XOYdaOVzOEFM3h8WiA,138.18,negative
DangerousMinds,https://drive.google.com/file/d/0B5S5TDsmc6mARVdBVXpGNUJhemM/view?usp=share_link&resourcekey=0-kHNWxWysJU3DPWDIwg7HLA,135.47,negative
DeadManWalking_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAUnp2dzJ3c1FxUE0/view?usp=share_link&resourcekey=0-6V6z8RfHv7n9kQYshgLiYQ,357.54,negative
DeadPoetsSociety_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAcFczaUpaTDg5SzA/view?usp=share_link&resourcekey=0-YFy_YN4HB6EmOvuHSeCDWw,259.72,negative
EdwardScissorhands_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAMmQ1SlF5cW9MVU0/view?usp=share_link&resourcekey=0-2lhZ3EPkw9R4MDObmNIawg,93.16,positive
ET_clip1,https://drive.google.com/file/d/0B5S5TDsmc6mAdDBEWGs0QWhCakk/view?usp=share_link&resourcekey=0-UThNrHl6qoyTB35qYBhCmA,300.35,positive
Fargo_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAcXNkTXNmZURrbTQ/view?usp=share_link&resourcekey=0-YDtoI6k7cetyIJ5WYLVhDg,47.32,negative
ForrestGump_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mATXd3dXhjU1lINFk/view?usp=share_link&resourcekey=0-PrvrzPPovCScrSgTF3BmFw,123.62,positive
Ghost_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAc2FwWXhmSmpEWEU/view?usp=share_link&resourcekey=0--CH9z3EOy2VQftJHuc5kfw,220.25,positive
Hellraiser_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAM0JlSHdVZERYamc/view?usp=share_link&resourcekey=0-wI_KknsZB-PAqD_hnnQjOA,90.02,positive
HotelRwanda_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAcmF0bVhPM2Q0NlU/view?usp=share_link&resourcekey=0-IfwQPt22p4cS-MLFnKgyWQ,63.16,positive
HotelRwanda_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mARWEzRXVQN0k4UGc/view?usp=share_link&resourcekey=0-OWyb7OUnfYotAHTmkwyiWg,88.92,positive
HotelRwanda_clip_4,https://drive.google.com/file/d/0B5S5TDsmc6mAdUdfaV9jdG44SEE/view?usp=share_link&resourcekey=0-bzoxao-0aiivN-RLZeC6Bg,219.5,negative
HotelRwanda_clip_5,https://drive.google.com/file/d/0B5S5TDsmc6mAOXFjUGxtWHlydW8/view?usp=share_link&resourcekey=0-bWXoJEnwE92Spwhi2UUL_Q,101.91,negative
HotelRwanda_clip_7,https://drive.google.com/file/d/0B5S5TDsmc6mATXNSWC1iWGFoZ0U/view?usp=share_link&resourcekey=0-NcTObz8ls24ffVO84ODslA,104.49,negative
HotelRwanda_clip_8,https://drive.google.com/file/d/0B5S5TDsmc6mAaW5rVVY0dEhBX1E/view?usp=share_link&resourcekey=0-t_uN3ZTt2RP4CUlw4IaUpA,93.74,negative
IndianaJoens_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAVkM2RVRRWXdWRnc/view?usp=share_link&resourcekey=0-HrUyexTs9EiGpT6aNTquOg,125.78,positive
InTheNameOfTheFather_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAbEJOaVU1ZHdxYnM/view?usp=share_link&resourcekey=0-0QnxRJduUubG2dwVgE_njA,167.95,negative
Jaws_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAMWdVTDQ1dVZEWjA/view?usp=share_link&resourcekey=0-CpDyN3LoXDYLIXefOwkMiQ,115.22,negative
KillBill1_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAQTF2Wi10MEkwWDg/view?usp=share_link&resourcekey=0-lYuiRdJsTRc3oaWn3Hc9Zg,69.59,negative
KillBill1_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAakl6eGcxMnJSNk0/view?usp=share_link&resourcekey=0-jLf3TmATKbeDbckYapXgJA,142.06,positive
KillBill1_clip_6,https://drive.google.com/file/d/0B5S5TDsmc6mAWDgxMDREMWNsSVE/view?usp=share_link&resourcekey=0-Zkw2yugnmkz6hkHiJ-R2ug,46.39,positive
KillBill1_clip_7,https://drive.google.com/file/d/0B5S5TDsmc6mAVnU2WWp4aUgwWjQ/view?usp=share_link&resourcekey=0-8VajLfxhsLiaI9L6S1DLHg,125.25,positive
LifeIsBeautiful_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mATHFyT0lsSWt4NGM/view?usp=share_link&resourcekey=0-u2gYMNejPKuvFvH_M8Hypg,109.27,negative
LifeIsBeautiful_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAU1M3YllfeFdLekU/view?usp=share_link&resourcekey=0-_jULQh132p7Di3WXSuITcQ,98.65,positive
LoveActually_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAZlVzMndfam8tS0k/view?usp=share_link&resourcekey=0-k24P0wIi4efCJ6XHj2fshA,80.06,positive
LoveActually_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAVGdpSUtTUjZ3WTQ/view?usp=share_link&resourcekey=0-hDhmUPTnBW_tLDQzMbhlFw,90.6,positive
LoveActually_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mAUWVfSTdiOWlIVGM/view?usp=share_link&resourcekey=0-DguL35d7fgrRok3RgJFb9g,149.28,positive
LoveActually_clip_4,https://drive.google.com/file/d/0B5S5TDsmc6mAM3pwNk16eGx1dFk/view?usp=share_link&resourcekey=0-vmgWXmVLh1N5rm4kG7rTMg,107.51,positive
LoveActually_clip_6,https://drive.google.com/file/d/0B5S5TDsmc6mAX2Q2aHVWXzF4ckU/view?usp=share_link&resourcekey=0-wtarCHGgthJCtDQqqurl5w,43.41,positive
LoveActually_clip_7,https://drive.google.com/file/d/0B5S5TDsmc6mAU25HRm9ibUxQblE/view?usp=share_link&resourcekey=0-wLABpwoEdgL1Vmrln5onRw,155.06,positive
Misery_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAOTZPQkNJODZQNG8/view?usp=share_link&resourcekey=0-gYZoq6LxMOVG_t-UY6h7pA,182.76,negative
MrBeansHoliday_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAS21zX0tFZG9JeWc/view?usp=share_link&resourcekey=0-Acg3BqCvjrVxM0XJC1tGlw,132.12,positive
MrBeansHoliday_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mAS29rNWQ4U0x3ZGs/view?usp=share_link&resourcekey=0-FDxyAGJocz9pmfzqIenWww,151.53,positive
MrBeansHoliday_clip_4,https://drive.google.com/file/d/0B5S5TDsmc6mAOFZZcGNBeVBmZzA/view?usp=share_link&resourcekey=0-1PHAEc5HiW-AprK6Q1Fntg,115.31,positive
MrBeansHoliday_clip_6,https://drive.google.com/file/d/0B5S5TDsmc6mANHkzT1dvUlcwbHc/view?usp=share_link&resourcekey=0-qcb0ynVWfeVYAEFnFLf_9A,125.71,positive
MrBeansHoliday_clip_7,https://drive.google.com/file/d/0B5S5TDsmc6mASUVySW9SU2laN28/view?usp=share_link&resourcekey=0-SdWCka_07pY-LknItUfE8w,78.76,positive
MrBeansHoliday_clip_8,https://drive.google.com/file/d/0B5S5TDsmc6mAeGt3MzZfUFdNcms/view?usp=share_link&resourcekey=0-hZVnAeYrZ8n4V6Wd53N1Xw,157.78,positive
MyGirl_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAVjd2Y3F3NWZVNVU/view?usp=share_link&resourcekey=0-hfzb82KVsTuFEgy7hbOwQg,147.52,negative
Philadelphia,https://drive.google.com/file/d/0B5S5TDsmc6mAX3BOVHpWb2tpSkU/view?usp=share_link&resourcekey=0-BhsQ5Df4QJ06-hWzDpvb1Q,305.52,positive
PlanetEarthIntro_4tasktesting,https://drive.google.com/file/d/0B5S5TDsmc6mAS25zZGszekwzaTg/view?usp=share_link&resourcekey=0-Ec-8boAbOROzYnZuT8mpAQ,66.04,positive
PrideAndPrejudice_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAb2w1RDJ3YXRxeTQ/view?usp=share_link&resourcekey=0-BjJhdFwkWBH4382m5RH5sA,89.4,positive
PrivateRyan_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mALXZTWWVwbUJ5SHM/view?usp=share_link&resourcekey=0-fMDNERQxxnSBIfDjw5-2EA,132.05,positive
PrivateRyan_clip_4,https://drive.google.com/file/d/0B5S5TDsmc6mAQi00ZjZKd2tFWjg/view?usp=share_link&resourcekey=0-vWdFgRZWzHFXTdIv4FbTlQ,57.03,negative
PrivateRyan_clip_6,https://drive.google.com/file/d/0B5S5TDsmc6mAVU5JY1dEdUNIeVE/view?usp=share_link&resourcekey=0-XuCI9Iuf3xOXxX4TYwInlg,79.18,negative
PrivateRyan_clip_8,https://drive.google.com/file/d/0B5S5TDsmc6mAcUNFSXR6SWcwRkE/view?usp=share_link&resourcekey=0-pCWhe0_hQedPNTc6Kq9cEw,60.72,positive
Psycho_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAdXBFdE43NGlqejg/view?usp=share_link&resourcekey=0-9AHKDUHnSvvci-eAckhcLw,189.64,negative
RememberTheTitans_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAWFlRZWRlWlNZRW8/view?usp=share_link&resourcekey=0-uQwKcOCYBK-Z_0kQAij03Q,353.27,positive
Ring_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAWHoxT01pVGZtVzQ/view?usp=share_link&resourcekey=0-bDIpYHh0bUQGeNcqQaVs-A,159.15,negative
SchindlersList_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAbFNZbXdNTjI5bVk/view?usp=share_link&resourcekey=0-iWE7SMLTA61quLlz8y1n6Q,98.82,negative
SchindlersList_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAVzYxcFBBS2lTQU0/view?usp=share_link&resourcekey=0-5CMav3ULwE8JHpKpDLDPow,150.7,negative
SchindlersList_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mATzM4R2ViZzFsLWs/view?usp=share_link&resourcekey=0-8qhLHJuMQnBeIZbSWic8Vw,123.74,negative
Scream1_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAX0NoNHZTUERfQXc/view?usp=share_link&resourcekey=0-6xGMjujx7aawhS0nmL0K2Q,413.52,positive
Scream2_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAX0U5TnJvU0MydzA/view?usp=share_link&resourcekey=0-0FSBoLqFeY5BYruCy7QyIA,224.6,negative
Seven_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mANU5SMG1IRVJuT1k/view?usp=share_link&resourcekey=0-SZXtRAqF51VQO8G-vSVcDg,240.28,negative
ShawshankRedemption_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAY3VQME9JSU92QU0/view?usp=share_link&resourcekey=0-xFMPfQvYcakUa-tNrv97KA,253.26,positive
Terminator2_JudgementDay_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAUFNjczV2NDV2cWs/view?usp=share_link&resourcekey=0-yJfFGw3QXxkr_tG65szZQw,132.66,positive
TheBlairWitchProject_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAODlKWW5WVThxeEE/view?usp=share_link&resourcekey=0-mEAVuhurYC4To7XwzlIBZg,241.94,negative
TheChamp_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAVDl0bXUteUFPckk/view?usp=share_link&resourcekey=0-H41infOicuXivhlDlm6qBA,30.57,negative
TheChamp_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mAV1pUTzRkY1FwSlU/view?usp=share_link&resourcekey=0-6GUg5CbwM8yo9r27axTaJw,115.53,negative
TheDentist_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAWmw0cjNCaTN4RXc/view?usp=share_link&resourcekey=0-F5Vaqv8vC3ubGEjzbHbVhA,55.01,negative
TheDeparted_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAWnR3YTFFZVdiUkE/view?usp=share_link&resourcekey=0-F20eXFVTKQX0xYxrPJqJTw,186.32,negative
TheFly_1,https://drive.google.com/file/d/0B5S5TDsmc6mAaDFUVm5rQzVaWkU/view?usp=share_link&resourcekey=0-hgWhVQdy9si8F6XmlnT_YA,94.98,negative
ThePianist_clip_5,https://drive.google.com/file/d/0B5S5TDsmc6mAcUJmeVRNbzVDUXc/view?usp=share_link&resourcekey=0-2o4pm12C3Fq5kOnfxnIMXw,160.55,positive
ThePianist_clip_6,https://drive.google.com/file/d/0B5S5TDsmc6mARk9uV0hmQnpFSGs/view?usp=share_link&resourcekey=0-Kqn0RYlZAO_YEo0m5Qp_Tg,190.55,negative
ThePianist_clip_7,https://drive.google.com/file/d/0B5S5TDsmc6mAalp1SkstM0Q4bWs/view?usp=share_link&resourcekey=0-kDTVFXlww6lnzTBa2tmuBA,84.1,negative
ThePianist_clip_8,https://drive.google.com/file/d/0B5S5TDsmc6mANWpnUkpmb2NGeDg/view?usp=share_link&resourcekey=0-yzl6bNFHOSWh0xCh16Cy1A,131.03,negative
ThePiano_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAMkZLYXo5RzE4Tlk/view?usp=share_link&resourcekey=0-_-ky5K9v4n_EWgseYUBMQw,54.85,negative
TheProfessional_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAc1pkY0hhWDdiS3M/view?usp=share_link&resourcekey=0-ow7Y8gli-_eJvxDcmmzsEw,172.18,negative
ThereIsSomethingAboutMary_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAMnVIUnZjNEFpbkE/view?usp=share_link&resourcekey=0-tjYTtJBUGWfwrDaKCjf1Bw,182.76,positive
ThereIsSomethingAboutMary_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAb2F3SkxDTDNYMFU/view?usp=share_link&resourcekey=0-52sslRnDxUVetgGurIifyA,193.04,positive
TheShining_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mANUNMRWF2TWduRlU/view?usp=share_link&resourcekey=0-BR4YlNWO1KJ88c1wnBs7-Q,83.75,positive
TheShining_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAZ1psMmg0NVNTUHc/view?usp=share_link&resourcekey=0-tNN8WLdNqDbghWTTKI3y2g,285.53,negative
TheShining_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mAdTFrTWY1ZWhtSVE/view?usp=share_link&resourcekey=0-nUrNnKPEiEM0F5YKbHPw0A,143.5,negative
TheSilenceOfTheLambs(a)_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAYVExZG1KSEc2VmM/view?usp=share_link&resourcekey=0-NfB_J8u1roXRC7A-kTrAzw,12.75,positive
TheSilenceOfTheLambs(b)_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAbnl3bER0MjdvZWs/view?usp=share_link&resourcekey=0-TfMBFvU9IOxjeKTpE8py7w,181.25,negative
Trainspotting_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAUFRBcWRHTlJESG8/view?usp=share_link&resourcekey=0-hMcfR3rs2K5NMZdRKpN7og,101.01,negative
Trainspotting_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAdXM4bTRPLTF0UkU/view?usp=share_link&resourcekey=0-bBfc04d31BInWwTIuJFgww,104.23,negative
Trainspotting_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mAZjNxa2tYSkswekU/view?usp=share_link&resourcekey=0-bN9NPdEnK2htWo0pWE89OQ,65.09,negative
Whenamanlovesawoman_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mARkdkRXA3S2RaTE0/view?usp=share_link&resourcekey=0-sN4v10iHU_fDny55K_oKwQ,96.13,positive
WhenHarryMetSally_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mASWhNeDM1LTg5Rkk/view?usp=share_link&resourcekey=0-LuWtFE49Jkx8QKY6NW3rBg,155.67,positive
WildAlaska_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAdmljM0IyMmIyUkE/view?usp=share_link&resourcekey=0-kc5FzqBO51elyQhyY2Z86Q,60.02,positive
